Date,Model,EECU (hours)
2023-10-01,geeSEBAL,5.3
2023-09-30,geeSEBAL,4.8
2023-09-29,geeSEBAL,4.8
2023-09-28,geeSEBAL,4.8
2023-09-27,geeSEBAL,4.8
2023-09-26,geeSEBAL,5.1
2023-09-25,geeSEBAL,5.1
2023-09-24,geeSEBAL,5.0
2023-09-23,geeSEBAL,5.0
2023-09-22,geeSEBAL,4.9
2023-09-21,geeSEBAL,4.8
2023-09-20,geeSEBAL,4.9
2023-09-19,geeSEBAL,4.9
2023-09-18,geeSEBAL,4.7
2023-09-16,geeSEBAL,4.4
2023-09-15,geeSEBAL,4.9
2023-09-14,geeSEBAL,5.0
2023-09-13,geeSEBAL,4.9
2023-09-12,geeSEBAL,4.8
2023-09-11,geeSEBAL,5.0
2023-09-10,geeSEBAL,5.0
2023-09-08,geeSEBAL,4.7
2023-09-07,geeSEBAL,5.0
2023-09-06,geeSEBAL,5.1
2023-09-03,geeSEBAL,5.0
2023-09-02,geeSEBAL,4.6
2023-09-01,geeSEBAL,5.0
2023-08-31,geeSEBAL,4.7
2023-08-30,geeSEBAL,4.4
2023-08-29,geeSEBAL,4.7
2023-08-28,geeSEBAL,4.5
2023-08-27,geeSEBAL,4.6
2023-08-26,geeSEBAL,4.6
2023-08-25,geeSEBAL,4.4
2023-08-24,geeSEBAL,4.5
2023-08-23,geeSEBAL,4.7
2023-08-22,geeSEBAL,4.6
2023-08-21,geeSEBAL,4.7
2023-08-20,geeSEBAL,4.4
2023-08-19,geeSEBAL,4.4
2023-08-18,geeSEBAL,4.5
2023-08-17,geeSEBAL,4.5
2023-08-16,geeSEBAL,4.2
2023-08-15,geeSEBAL,4.5
2023-08-14,geeSEBAL,4.7
2023-08-13,geeSEBAL,4.4
2023-08-12,geeSEBAL,4.5
2023-08-11,geeSEBAL,4.7
2023-08-10,geeSEBAL,4.7
2023-08-09,geeSEBAL,4.7
2023-08-08,geeSEBAL,4.7
2023-08-07,geeSEBAL,4.8
2023-08-06,geeSEBAL,0.6
