Date,Model,EECU (hours),Completed,EECU (hours/task)
2026-01-29,SIMS,0.2,48,0.004166666666666667
2026-01-29,SSEBop,1.4,45,0.03111111111111111
2026-01-29,eeMETRIC,5.8,9,0.6444444444444444
2026-01-28,DisALEXI,36.0,88,0.4090909090909091
2026-01-28,SIMS,0.2,59,0.0033898305084745766
2026-01-28,SSEBop,1.5,46,0.03260869565217391
2026-01-28,eeMETRIC,5.4,34,0.15882352941176472
2026-01-27,PT-JPL,0.5,10,0.05
2026-01-27,SIMS,0.2,48,0.004166666666666667
2026-01-27,SSEBop,1.5,48,0.03125
2026-01-27,eeMETRIC,5.7,53,0.10754716981132076
2026-01-26,PT-JPL,0.6,20,0.03
2026-01-26,SIMS,0.2,39,0.005128205128205128
2026-01-26,SSEBop,1.4,47,0.02978723404255319
2026-01-26,eeMETRIC,5.3,57,0.09298245614035087
2026-01-25,PT-JPL,0.5,25,0.02
2026-01-25,SIMS,0.2,33,0.006060606060606061
2026-01-25,SSEBop,1.5,45,0.03333333333333333
2026-01-25,eeMETRIC,5.3,55,0.09636363636363636
2026-01-24,PT-JPL,0.5,105,0.004761904761904762
2026-01-24,SIMS,0.2,196,0.0010204081632653062
2026-01-24,SSEBop,1.4,163,0.008588957055214723
2026-01-24,eeMETRIC,5.3,119,0.04453781512605042
2026-01-23,PT-JPL,0.5,56,0.008928571428571428
2026-01-23,SIMS,0.2,26,0.007692307692307693
2026-01-23,SSEBop,1.5,58,0.02586206896551724
2026-01-23,eeMETRIC,5.5,107,0.0514018691588785
2026-01-22,SIMS,0.2,43,0.004651162790697674
2026-01-22,SSEBop,1.4,30,0.04666666666666666
2026-01-21,PT-JPL,0.5,24,0.020833333333333332
2026-01-21,SIMS,0.2,55,0.0036363636363636364
2026-01-21,SSEBop,1.5,65,0.023076923076923078
2026-01-21,eeMETRIC,5.2,53,0.09811320754716982
2026-01-20,PT-JPL,0.5,13,0.038461538461538464
2026-01-20,SIMS,0.2,51,0.00392156862745098
2026-01-20,SSEBop,1.6,51,0.03137254901960784
2026-01-20,eeMETRIC,5.3,51,0.10392156862745097
2026-01-19,PT-JPL,0.6,17,0.03529411764705882
2026-01-19,SIMS,0.2,61,0.003278688524590164
2026-01-19,SSEBop,1.7,52,0.032692307692307694
2026-01-19,eeMETRIC,5.6,52,0.10769230769230768
2026-01-18,PT-JPL,0.5,25,0.02
2026-01-18,SIMS,0.2,65,0.003076923076923077
2026-01-18,SSEBop,1.6,71,0.022535211267605635
