Date,Model,EECU (hours)
2025-08-19,SSEBop,1.5
2025-08-18,SSEBop,1.4
2025-08-17,SSEBop,1.4
2025-08-16,SSEBop,1.4
2025-08-15,SSEBop,1.4
2025-08-14,SSEBop,1.4
2025-08-13,SSEBop,1.4
2025-08-12,SSEBop,1.4
2025-08-11,SSEBop,1.2
2025-08-10,SSEBop,1.2
2025-08-09,SSEBop,1.4
2025-08-08,SSEBop,1.2
2025-08-07,SSEBop,1.3
2025-08-06,SSEBop,1.4
2025-08-05,SSEBop,1.3
2025-08-04,SSEBop,1.3
2025-08-03,SSEBop,1.3
2025-08-02,SSEBop,1.2
2025-08-01,SSEBop,1.4
2025-07-31,SSEBop,1.3
2025-07-30,SSEBop,1.2
2025-07-29,SSEBop,1.4
2025-07-28,SSEBop,1.3
2025-07-27,SSEBop,1.4
2025-07-26,SSEBop,1.3
2025-07-25,SSEBop,1.2
2025-07-24,SSEBop,1.4
2025-07-23,SSEBop,1.0
2025-07-22,SSEBop,1.0
2025-07-21,SSEBop,1.4
2025-07-20,SSEBop,1.2
2025-07-17,SSEBop,1.2
2025-07-16,SSEBop,1.2
2025-07-15,SSEBop,1.2
2025-07-14,SSEBop,1.0
2025-07-13,SSEBop,1.1
2025-07-12,SSEBop,1.3
2025-07-11,SSEBop,1.3
2025-07-10,SSEBop,1.1
2025-07-09,SSEBop,1.0
2025-07-08,SSEBop,1.1
2025-07-07,SSEBop,1.1
2025-07-06,SSEBop,1.3
2025-07-05,SSEBop,1.0
2025-07-04,SSEBop,1.2
2025-07-03,SSEBop,1.1
2025-07-02,SSEBop,1.2
2025-07-01,SSEBop,1.2
2025-06-30,SSEBop,1.0
2025-06-29,SSEBop,1.2
2025-06-28,SSEBop,1.2
2025-06-27,SSEBop,1.2
2025-06-26,SSEBop,1.2
2025-06-25,SSEBop,1.2
2025-06-24,SSEBop,1.0
2025-06-23,SSEBop,1.1
2025-06-22,SSEBop,1.2
2025-06-21,SSEBop,1.2
2025-06-20,SSEBop,1.2
2025-06-19,SSEBop,1.1
2025-06-18,SSEBop,1.2
2025-06-17,SSEBop,1.3
2025-06-16,SSEBop,1.1
2025-06-15,SSEBop,1.3
2025-06-14,SSEBop,1.4
2025-06-13,SSEBop,1.3
2025-06-12,SSEBop,1.1
2025-06-11,SSEBop,1.3
2025-06-10,SSEBop,1.4
2025-06-09,SSEBop,1.3
2025-06-08,SSEBop,1.3
2025-06-07,SSEBop,1.1
2025-06-06,SSEBop,1.3
2025-06-05,SSEBop,1.2
2025-06-04,SSEBop,1.3
2025-06-03,SSEBop,1.1
2025-06-02,SSEBop,1.1
2025-06-01,SSEBop,1.2
2025-05-31,SSEBop,1.2
2025-05-30,SSEBop,1.3
2025-05-29,SSEBop,0.9
2025-05-28,SSEBop,1.5
2025-05-27,SSEBop,1.4
2025-05-26,SSEBop,1.2
2025-05-25,SSEBop,1.2
2025-05-24,SSEBop,1.4
2025-05-23,SSEBop,1.4
2025-05-22,SSEBop,1.4
2025-05-21,SSEBop,1.5
2025-05-19,SSEBop,1.4
2025-05-18,SSEBop,1.3
2025-05-17,SSEBop,1.3
2025-05-16,SSEBop,1.3
2025-05-15,SSEBop,1.3
2025-05-14,SSEBop,1.3
2025-05-13,SSEBop,1.3
2025-05-10,SSEBop,1.3
2025-05-09,SSEBop,1.4
2025-05-08,SSEBop,1.5
2025-05-07,SSEBop,1.3
2025-05-06,SSEBop,1.1
2025-05-05,SSEBop,1.3
2025-05-04,SSEBop,1.5
2025-05-03,SSEBop,1.3
2025-05-02,SSEBop,1.4
2025-05-01,SSEBop,1.3
2025-04-30,SSEBop,1.3
2025-04-29,SSEBop,1.4
2025-04-28,SSEBop,1.2
2025-04-27,SSEBop,1.4
2025-04-26,SSEBop,1.4
2025-04-25,SSEBop,1.2
2025-04-18,SSEBop,1.2
2025-04-17,SSEBop,1.3
2025-04-16,SSEBop,1.0
2025-04-15,SSEBop,1.2
2025-04-14,SSEBop,1.1
2025-04-13,SSEBop,1.1
2025-04-12,SSEBop,1.1
2025-04-11,SSEBop,1.0
2025-04-10,SSEBop,1.0
2025-04-09,SSEBop,1.2
2025-04-08,SSEBop,1.2
2025-04-07,SSEBop,1.1
2025-04-06,SSEBop,1.2
2025-04-05,SSEBop,1.1
2025-04-04,SSEBop,1.4
2025-04-03,SSEBop,1.2
2025-04-02,SSEBop,1.1
2025-04-01,SSEBop,1.1
2025-03-31,SSEBop,1.1
2025-03-30,SSEBop,1.2
2025-03-29,SSEBop,1.2
2025-03-28,SSEBop,1.2
2025-03-27,SSEBop,1.2
2025-03-26,SSEBop,1.1
2025-03-25,SSEBop,1.1
2025-03-24,SSEBop,1.1
2025-03-23,SSEBop,1.1
2025-03-22,SSEBop,1.1
