Date,Model,EECU (hours)
2023-10-23,SSEBop,1.2
2023-10-22,SSEBop,1.1
2023-10-21,SSEBop,1.0
2023-10-20,SSEBop,1.0
2023-10-19,SSEBop,1.0
2023-10-18,SSEBop,1.3
2023-10-17,SSEBop,1.2
2023-10-16,SSEBop,1.1
2023-10-15,SSEBop,1.1
2023-10-14,SSEBop,1.0
2023-10-13,SSEBop,1.1
2023-10-12,SSEBop,1.1
2023-10-11,SSEBop,1.0
2023-10-10,SSEBop,1.0
2023-10-09,SSEBop,1.0
2023-10-08,SSEBop,1.0
2023-10-07,SSEBop,1.2
2023-10-06,SSEBop,1.1
2023-10-05,SSEBop,1.1
2023-10-04,SSEBop,1.1
2023-10-03,SSEBop,1.1
2023-10-02,SSEBop,1.0
2023-10-01,SSEBop,1.2
2023-09-30,SSEBop,1.1
2023-09-29,SSEBop,0.9
2023-09-28,SSEBop,1.1
2023-09-27,SSEBop,1.0
2023-09-26,SSEBop,1.0
2023-09-25,SSEBop,1.1
2023-09-24,SSEBop,1.1
2023-09-22,SSEBop,1.0
2023-09-21,SSEBop,0.9
2023-09-20,SSEBop,1.1
2023-09-19,SSEBop,1.1
2023-09-18,SSEBop,1.0
2023-09-16,SSEBop,1.0
2023-09-14,SSEBop,1.0
2023-09-13,SSEBop,1.0
2023-09-11,SSEBop,1.1
2023-09-10,SSEBop,1.1
2023-09-08,SSEBop,1.1
2023-09-07,SSEBop,1.1
2023-09-06,SSEBop,1.0
2023-09-05,SSEBop,1.2
2023-09-04,SSEBop,1.0
2023-09-03,SSEBop,1.0
2023-09-02,SSEBop,1.0
2023-09-01,SSEBop,1.0
2023-08-31,SSEBop,1.1
2023-08-29,SSEBop,1.0
2023-08-28,SSEBop,1.1
2023-08-27,SSEBop,0.9
2023-08-26,SSEBop,0.9
2023-08-25,SSEBop,0.9
2023-08-24,SSEBop,1.0
2023-08-21,SSEBop,1.0
2023-08-20,SSEBop,0.9
2023-08-18,SSEBop,0.9
2023-08-17,SSEBop,1.0
2023-08-16,SSEBop,1.0
2023-08-15,SSEBop,0.9
2023-08-14,SSEBop,1.0
2023-08-13,SSEBop,0.9
2023-08-12,SSEBop,1.0
2023-08-11,SSEBop,1.0
2023-08-10,SSEBop,1.0
2023-08-09,SSEBop,1.0
2023-08-08,SSEBop,1.0
2023-08-07,SSEBop,1.0
2023-08-06,SSEBop,0.1
